sample_id,stratum_name,cl250,cl500
613,apartment_block,1,1
614,apartment_block,1,1
615,apartment_block,1,1
616,apartment_block,1,1
617,apartment_block,1,1
618,apartment_block,2,1
619,apartment_block,1,1
620,apartment_block,2,2
621,apartment_block,2,2
622,apartment_block,2,1
623,apartment_block,2,1
624,apartment_block,2,2
625,apartment_block,2,2
626,apartment_block,2,2
627,apartment_block,2,2
628,apartment_block,2,2
629,apartment_block,2,1
630,apartment_block,2,2
631,apartment_block,2,2
632,apartment_block,2,2
633,apartment_block,2,3
634,apartment_block,4,2
635,apartment_block,1,2
636,apartment_block,1,1
637,apartment_block,2,1
638,apartment_block,2,1
639,apartment_block,2,1
640,apartment_block,2,3
641,apartment_block,4,3
642,apartment_block,2,2
643,apartment_block,1,1
644,apartment_block,1,1
645,apartment_block,1,1
646,apartment_block,1,1
647,apartment_block,2,1
648,apartment_block,2,3
649,apartment_block,2,3
650,apartment_block,1,1
651,apartment_block,1,1
652,apartment_block,2,1
653,apartment_block,2,2
654,apartment_block,2,2
655,apartment_block,4,3
656,apartment_block,2,2
657,apartment_block,1,1
658,apartment_block,1,1
659,apartment_block,1,1
660,apartment_block,1,1
661,apartment_block,2,2
662,apartment_block,2,2
663,apartment_block,2,2
664,apartment_block,2,2
665,apartment_block,1,1
666,apartment_block,1,1
667,apartment_block,1,1
668,apartment_block,2,2
669,apartment_block,2,2
670,apartment_block,2,2
671,apartment_block,1,1
672,apartment_block,1,1
673,apartment_block,1,1
674,apartment_block,1,1
675,apartment_block,2,2
676,apartment_block,2,2
677,apartment_block,2,1
678,apartment_block,2,1
679,apartment_block,2,1
680,apartment_block,2,2
681,apartment_block,2,1
682,apartment_block,2,2
683,apartment_block,2,2
684,apartment_block,2,2
685,apartment_block,2,2
686,apartment_block,2,2
687,apartment_block,2,2
688,apartment_block,4,2
689,apartment_block,2,2
690,apartment_block,2,2
691,apartment_block,2,2
692,apartment_block,2,2
693,apartment_block,2,2
694,apartment_block,2,3
695,apartment_block,4,2
696,apartment_block,4,2
697,apartment_block,4,2
698,apartment_block,4,2
699,apartment_block,4,2
700,apartment_block,4,2
701,apartment_block,4,2
702,apartment_block,4,2
703,apartment_block,1,1
704,apartment_block,2,1
705,apartment_block,2,1
706,apartment_block,4,2
707,apartment_block,1,1
708,apartment_block,2,2
709,apartment_block,1,1
710,apartment_block,1,1
711,apartment_block,2,2
712,apartment_block,2,2
713,apartment_block,4,3
714,apartment_block,1,2
715,apartment_block,2,2
716,apartment_block,1,1
717,apartment_block,1,1
718,apartment_block,2,2
719,apartment_block,1,1
720,apartment_block,2,1
721,apartment_block,1,1
722,apartment_block,2,2
723,apartment_block,1,1
724,apartment_block,1,1
725,apartment_block,1,1
726,apartment_block,1,1
727,apartment_block,1,1
728,apartment_block,1,1
729,apartment_block,2,2
730,apartment_block,1,1
731,apartment_block,1,1
732,apartment_block,1,1
733,apartment_block,1,1
734,apartment_block,1,1
735,apartment_block,1,1
736,apartment_block,1,1
737,apartment_block,1,1
738,apartment_block,1,1
739,apartment_block,1,1
740,apartment_block,1,1
741,apartment_block,4,3
742,apartment_block,1,1
743,apartment_block,1,1
744,apartment_block,1,1
745,apartment_block,1,1
746,apartment_block,1,1
747,apartment_block,1,1
748,apartment_block,1,1
749,apartment_block,1,1
750,apartment_block,1,1
751,apartment_block,1,1
752,apartment_block,1,1
753,apartment_block,1,1
754,apartment_block,1,2
755,apartment_block,1,1
756,apartment_block,1,1
757,apartment_block,1,1
758,apartment_block,1,1
759,apartment_block,4,2
760,apartment_block,1,1
761,apartment_block,1,1
762,apartment_block,1,1
763,apartment_block,1,1
